UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Tool Wear Failure,Heat Dissipation Failure,Power Failure,Overstrain Failure,Random Failure,temp_gap,power,wear_rate,heat_stress,stress_index
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,45849.0,0.04949944382647386,265.1999999999994,2269.5
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,68537.7,0.06412966878083157,502.31999999999886,4395.299999999999
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,54112.5,0.055855855855855854,338.00000000000114,3022.5
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,54097.3,0.06093649775497113,357.4100000000004,3296.5
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,70567.2,0.0674931129476584,505.4399999999989,4762.8
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,58022.700000000004,0.06388361796331436,378.01000000000045,3706.7000000000007
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,56408.8,0.07227241139680333,403.7600000000005,4076.8
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,69915.3,0.07686729514140682,522.2100000000006,5374.200000000001
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,70875.0,0.08222222222222222,540.7500000000006,5827.5
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,61834.799999999996,0.08296622613803231,467.6200000000005,5130.2
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,69494.4,0.08406432748538012,523.2400000000006,5842.0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,67168.8,0.08552631578947369,505.7300000000006,5744.700000000001
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,66542.0,0.08746355685131195,504.3999999999989,5820.0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,69920.0,0.08491847826086957,489.25000000000057,5937.5
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,73109.90000000001,0.08596373404969779,505.7300000000006,6284.800000000001
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,47549.4,0.0705371676614216,265.7400000000003,3354.0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,65653.4,0.09379407616361073,476.8900000000005,6157.9
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,76807.5,0.09473684210526316,560.5599999999988,7276.5
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,62269.200000000004,0.09915014164305949,454.23000000000053,6174.000000000001
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,13160.599999999999,0.049982523593149246,46.92000000000021,657.7999999999998
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,75926.7,0.10484454085321765,559.9800000000025,7960.5
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,65568.59999999999,0.09819639278557114,446.7599999999995,6438.599999999999
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,54931.5,0.09712460063897764,361.5300000000004,5335.2
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,50899.100000000006,0.09107037256061502,310.03000000000037,4635.400000000001
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,61538.4,0.10317460317460317,419.2100000000005,6349.2
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,62624.799999999996,0.1069735951252539,436.7200000000005,6699.2
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,60973.899999999994,0.10575016523463318,415.09000000000043,6447.999999999999
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,48999.5,0.0975316074653823,300.89999999999964,4779.0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,74963.2,0.11973875181422351,560.3200000000006,8976.0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,73271.8,0.1198851399856425,541.7800000000007,8784.2
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,60814.4,0.10615577889447236,389.6399999999996,6455.8
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,41884.1,0.09404045926735921,233.57999999999973,3938.7999999999997
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,46930.799999999996,0.09602649006622517,261.5900000000006,4506.599999999999
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,58787.8,0.11621799080761655,389.86000000000087,6832.200000000001
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,62869.4,0.1284074605451937,455.510000000001,8072.900000000001
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,48187.299999999996,0.10780226325193568,287.0,5194.7
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,64650.6,0.12551159618008187,445.4099999999985,8114.400000000001
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,49474.799999999996,0.1237721021611002,327.2399999999989,6123.599999999999
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,92637.0,0.13546099290780142,663.5700000000015,12548.7
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,43482.4,0.10031185031185032,228.26000000000053,4361.8
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,66066.0,0.1349862258953168,464.10000000000207,8918.0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,60783.6,0.1446311176040906,452.880000000002,8791.2
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,55720.0,0.12562814070351758,353.5000000000008,6999.999999999999
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,51712.299999999996,0.12617114303560276,326.2300000000007,6524.599999999999
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,64399.3,0.14793328498912256,471.6699999999984,9526.800000000001
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,69981.9,0.14099931553730322,483.7899999999984,9867.4
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,60091.49999999999,0.1429553264604811,417.1299999999986,8590.399999999998
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,71997.0,0.0,520.1499999999983,0.0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,53135.799999999996,0.0014265335235378032,382.7899999999987,75.8
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,72105.5,0.002768166089965398,499.0,199.6
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,68875.0,0.006206896551724138,475.0,427.5
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,59282.399999999994,0.007570543702684102,408.0,448.79999999999995
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,58906.9,0.008849557522123894,401.0,521.3
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,67687.2,0.010548523206751054,476.0,713.9999999999999
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,48347.200000000004,0.009423503325942351,268.0,455.6000000000001
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,63040.4,0.013927576601671309,439.0,878.0
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,49099.200000000004,0.016191709844559584,318.0,795.0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,64138.8,0.019027484143763214,452.0,1220.4
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,58736.5,0.020174848688634835,395.0,1185.0
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,45227.4,0.018824871648602397,258.0,851.4000000000001
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,45567.0,0.01912568306010929,249.0,871.5
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,46801.700000000004,0.021424435437174292,271.0,1002.7000000000002
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,62350.0,0.027586206896551724,425.699999999999,1720.0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,51741.799999999996,0.025893958076448828,315.80999999999926,1339.8
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,70522.2,0.03256846780162842,522.0,2296.7999999999997
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,55597.49999999999,0.029841269841269842,353.0,1659.1
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,52325.0,0.02857142857142857,299.0,1495.0
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,49998.3,0.03466317854807063,323.73000000000116,1733.1000000000001
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,67621.2,0.03611293499671701,444.0,2442.0
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,46300.0,0.030777537796976243,252.49999999999915,1425.0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,41213.7,0.029633350075339026,207.0,1221.3
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,63133.0,0.03922829581993569,406.0,2476.6
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,58360.5,0.04371963913948647,405.0,2551.5
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,62930.0,0.04551724137931035,429.659999999999,2864.4
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,49480.100000000006,0.04274041483343809,307.8899999999993,2114.8
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,70082.5,0.04844290657439446,480.1499999999989,3395.0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,70059.59999999999,0.04809619238476954,468.0,3369.5999999999995
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,53006.700000000004,0.04626773596545342,323.73000000000116,2452.5
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,53605.200000000004,0.05089058524173028,334.1800000000004,2728.0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,42120.0,0.0438034188034188,220.50000000000026,1844.9999999999998
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,65206.5,0.056037358238825885,430.65000000000146,3654.0
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,59171.0,0.05941255006675567,391.0499999999991,3515.5
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,62263.4,0.06191117092866756,410.62000000000046,3854.7999999999997
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,49392.0,0.05654761904761905,288.12000000000035,2793.0
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,65396.700000000004,0.06778476589797344,447.8600000000005,4432.900000000001
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,53332.4,0.0632992327365729,334.1800000000004,3375.9000000000005
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,52767.0,0.06316447779862414,323.4000000000004,3332.9999999999995
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,47966.700000000004,0.06033977738722906,275.38000000000034,2894.3
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,59706.9,0.07225630538513975,398.86000000000047,4314.200000000001
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,64055.100000000006,0.07536636427076064,438.0600000000005,4827.6
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,64189.600000000006,0.07060333761232349,403.7600000000005,4532.0
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,66417.0,0.08549618320610687,496.8600000000006,5678.4
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,67096.4,0.07373868046571798,425.3200000000005,4947.599999999999
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,50773.799999999996,0.0671685002895194,288.12000000000035,3410.3999999999996
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,50232.00000000001,0.07564102564102564,312.3400000000015,3799.6000000000004
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,80404.5,0.09029345372460497,580.8000000000013,7260.0
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,65704.5,0.08634111818825195,451.0500000000021,5673.0
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,61258.200000000004,0.07813484562066793,370.5600000000009,4786.400000000001
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,53473.7,0.08082103912764593,329.28000000000077,4321.8
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,60540.3,0.08689748811948404,394.55999999999864,5260.8
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,48114.9,0.07484168105929764,265.91999999999905,3601.0000000000005
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,62251.200000000004,0.0916030534351145,419.0399999999995,5702.400000000001
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,70928.0,0.0944055944055944,481.11999999999944,6696.0
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,72557.0,0.10080350620891161,508.7999999999982,7314.0
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,48763.5,0.08182349503214495,276.4499999999997,3990.0000000000005
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,64894.00000000001,0.10070422535211268,447.8600000000005,6535.100000000001
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,71724.09999999999,0.1141094834232845,547.4700000000018,8184.399999999999
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,71580.59999999999,0.10351966873706005,484.1200000000006,7409.999999999999
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,70754.4,0.1222397476340694,546.8400000000006,8649.0
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,54547.1,0.10390469887491727,353.7800000000004,5667.7
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,54348.8,0.10297927461139897,344.96000000000043,5596.8
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,50139.6,0.09055118110236221,276.3599999999987,4540.2
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,71053.5,0.11656005685856433,494.8999999999977,8282.0
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,58978.4,0.12149532710280374,415.51999999999805,7165.6
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,50836.8,0.11368142762723067,332.63999999999925,5779.200000000001
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,58193.200000000004,0.10794044665012408,357.3899999999992,6281.400000000001
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,60751.5,0.11815181518151815,401.0,7177.900000000001
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,66192.0,0.1312545322697607,480.0,8688.0
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,58772.7,0.12491513917175831,395.01000000000136,7341.599999999999
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,60719.4,0.1308016877637131,422.7300000000015,7942.200000000001
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,55008.8,0.12850307587149692,368.4800000000004,7068.8
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,64944.0,0.12058080808080808,401.80000000000047,7831.0
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,49950.0,0.10486486486486486,264.6000000000003,5238.0
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,55313.600000000006,0.12827225130890052,354.76000000000045,7095.200000000001
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,39342.6,0.0996477101157524,194.04000000000022,3920.4
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,68770.0,0.13578595317725753,446.2000000000021,9338.0
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,64293.0,0.13937753721244925,426.3000000000005,8961.0
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,59960.0,0.14076050700466977,392.00000000000045,8440.0
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,69137.0,0.14547926580557444,460.60000000000053,10058.0
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,77817.40000000001,0.1684867394695788,594.8600000000007,13111.200000000003
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,73847.59999999999,0.15439093484419264,512.5400000000005,11401.4
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,56303.0,0.0,347.90000000000043,0.0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,64298.399999999994,0.0013623978201634877,429.24000000000046,87.6
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,62784.0,0.003472222222222222,427.2800000000005,218.0
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,45058.0,0.004616272360069244,257.3999999999994,208.0
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,52551.200000000004,0.00620347394540943,319.48000000000036,326.00000000000006
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,62548.2,0.0102880658436214,424.71000000000146,643.5
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,89275.9,0.013956734124214934,616.7700000000021,1246.0
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,77893.8,0.01669195751138088,585.0900000000021,1300.2
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,56350.0,0.014906832298136646,343.0000000000004,840.0
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,74269.59999999999,0.018467852257181942,502.9200000000017,1371.6
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,40019.200000000004,0.015072765072765074,205.91999999999953,603.2
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,53616.700000000004,0.02011313639220616,330.2600000000004,1078.4
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,76139.8,0.02679938744257274,577.170000000002,2040.5
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,60117.0,0.026772793053545588,430.65000000000146,1609.5
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,56144.600000000006,0.024103831891223733,343.5300000000012,1353.3000000000002
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,42543.2,0.02062374245472837,214.0,877.4
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,72087.2,0.029944289693593314,502.0,2158.6
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,64939.2,0.03450920245398773,502.9800000000011,2241.0
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,73602.5,0.031864406779661014,503.99000000000115,2345.2999999999997
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,44140.799999999996,0.0268640350877193,244.42000000000056,1185.8
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,64550.200000000004,0.040238450074515646,485.80999999999835,2597.4
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,60439.50000000001,0.03838383838383838,411.06999999999863,2319.9
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,51010.200000000004,0.03539292141571686,306.0,1805.4
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,55237.200000000004,0.042185338865836794,382.0,2330.2000000000003
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,72856.0,0.04842428900845504,571.1999999999994,3528.0
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,59434.9,0.04713560551124003,439.61999999999955,2801.5
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,53961.600000000006,0.041718555417185554,342.71999999999963,2251.2000000000003
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,66792.59999999999,0.04483430799220273,438.3399999999985,2994.5999999999995
